Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,NumberOfWindows,Claim,Occupancy_Period
1.0,0,N,V,V,U,290.0,type1,no data,0,53
1.0,0,V,N,O,R,490.0,type1,less than 5,0,165
1.0,0,N,V,V,U,595.0,type1,no data,0,54
1.0,0,V,V,V,U,2840.0,type1,no data,0,53
1.0,0,V,N,O,R,680.0,type1,less than 5,0,214
1.0,0,V,N,O,R,535.0,type1,less than 5,0,32
1.0,0,N,V,V,U,2830.0,type1,no data,0,24
1.0,0,N,V,V,U,4952.0,type1,no data,0,27
1.0,0,V,N,O,R,2735.0,type1,less than 5,1,1
1.0,0,V,N,O,R,520.0,type1,less than 5,0,4
0.24109589,0,V,N,O,R,550.0,type1,less than 5,0,53
1.0,0,V,V,V,U,910.0,type1,no data,0,53
1.0,0,V,N,O,R,842.0,type1,less than 5,0,463
0.843835616,0,V,N,O,R,300.0,type1,less than 5,0,114
1.0,0,N,V,V,U,560.0,type1,no data,0,52
1.0,0,V,N,O,R,3326.0,type1,less than 5,1,5
1.0,0,N,V,V,U,3990.0,type1,no data,1,26
1.0,0,N,V,V,U,3990.0,type1,no data,0,27
1.0,0,V,N,O,R,2444.0,type1,greater than 5,0,45
1.0,0,V,N,O,R,2444.0,type1,greater than 5,0,46
0.956284153,0,V,N,O,R,1626.0,type1,less than 5,0,66
0.99726776,0,V,N,O,R,2400.0,type1,less than 5,0,316
1.0,0,V,N,O,R,250.0,type1,less than 5,0,112
1.0,1,V,N,O,R,2300.0,type1,less than 5,1,42
0.99726776,0,N,V,V,U,600.0,type1,no data,0,36
1.0,0,V,N,O,R,5439.0,type1,greater than 10,0,36
1.0,0,V,N,O,R,5439.0,type1,greater than 10,1,38
1.0,0,V,N,O,R,1100.0,type1,less than 5,0,114
1.0,0,V,N,O,R,1200.0,type1,greater than 5,0,76
1.0,0,V,N,O,R,552.0,type1,greater than 5,0,62
1.0,0,V,N,O,R,900.0,type1,greater than 5,0,94
1.0,0,V,N,O,R,370.0,type2,less than 5,1,31
1.0,0,V,N,O,R,1400.0,type2,less than 5,0,56
0.99726776,1,N,V,V,U,1000.0,type2,no data,0,56
1.0,0,V,N,O,R,480.0,type2,less than 5,0,212
0.084931507,0,V,N,O,R,1300.0,type2,less than 5,0,44
1.0,0,V,N,O,R,2900.0,type2,less than 5,1,34
1.0,0,N,V,V,U,1300.0,type2,no data,0,26
1.0,0,N,V,V,U,1300.0,type2,no data,0,25
1.0,0,N,V,V,U,1300.0,type2,no data,0,27
1.0,0,N,V,V,U,1592.0,type2,no data,0,32
1.0,0,N,V,V,U,1592.0,type2,no data,0,33
1.0,0,V,N,O,R,450.0,type2,less than 5,0,34
1.0,0,N,V,V,U,480.0,type2,no data,0,56
1.0,1,V,N,O,R,487.0,type2,less than 5,0,35
1.0,0,V,N,O,R,1550.0,type1,less than 5,1,43
0.99726776,0,V,N,O,R,1550.0,type1,less than 5,0,44
1.0,1,V,N,O,R,650.0,type1,less than 5,1,4
1.0,1,V,N,O,R,650.0,type1,less than 5,0,5
1.0,0,V,N,O,R,2600.0,type1,greater than 5,1,43
1.0,0,N,V,V,U,1314.0,type1,no data,1,25
1.0,0,V,V,V,U,2960.0,type1,no data,0,25
1.0,0,V,V,V,U,2960.0,type1,no data,0,27
1.0,0,V,V,V,U,1386.0,type1,no data,0,27
1.0,0,V,V,V,U,1100.0,type1,no data,0,24
1.0,0,V,V,V,U,1100.0,type1,no data,1,25
1.0,0,V,N,O,R,680.0,type1,less than 5,0,19
0.857534247,0,V,V,V,U,3325.0,type1,no data,0,27
1.0,0,V,V,V,U,1254.0,type1,no data,1,53
1.0,0,V,V,V,U,1000.0,type1,no data,0,24
1.0,0,V,V,V,U,1842.0,type1,no data,0,27
0.295890411,0,V,V,V,U,300.0,type1,no data,0,35
1.0,0,V,V,V,U,1113.0,type1,no data,0,25
1.0,0,V,N,O,R,310.0,type1,less than 5,0,113
0.99726776,0,N,V,V,U,736.0,type1,no data,0,56
1.0,0,V,N,O,R,2050.0,type1,greater than 5,0,6
1.0,0,V,N,O,R,2050.0,type1,greater than 5,0,7
1.0,1,V,N,O,R,1262.0,type1,less than 5,0,7
1.0,0,V,V,V,U,470.0,type1,no data,0,52
1.0,0,V,V,V,U,2400.0,type1,no data,0,34
1.0,0,V,N,O,R,6510.0,type1,greater than 5,1,24
1.0,0,V,V,V,U,320.0,type1,no data,0,54
1.0,0,V,N,O,R,425.0,type1,less than 5,0,32
1.0,0,V,V,V,U,1500.0,type1,no data,0,24
1.0,0,V,V,V,U,900.0,type1,no data,0,25
