,Building Dimension,YearOfObservation,Insured_Period_Equal to 1,Residential,Painted,Fenced,Garden,Rural,Building_Type,Date_of_Occupancy_Between 1500 & 1600,Date_of_Occupancy_Between 1600 & 1700,Date_of_Occupancy_Between 1700 & 1800,Date_of_Occupancy_Between 1800 & 1900,Date_of_Occupancy_Between 1900 & 2000,NumberOfWindows_<5,NumberOfWindows_>=5 & <10,NumberOfWindows_>=10,Claim
0,290.0,2013,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
1,490.0,2015,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
2,595.0,2014,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
3,2840.0,2013,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
4,680.0,2014,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0
5,535.0,2012,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
6,2830.0,2012,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
7,4952.0,2015,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
8,2735.0,2014,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1
9,520.0,2015,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
10,550.0,2013,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
11,910.0,2013,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
12,842.0,2013,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0
13,300.0,2014,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
14,560.0,2012,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
15,3326.0,2012,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1
16,3990.0,2014,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
17,3990.0,2015,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
18,2444.0,2015,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0
19,2444.0,2016,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0
20,1626.0,2016,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
21,2400.0,2016,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0
22,250.0,2012,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
23,2300.0,2012,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1
24,600.0,2016,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
25,5439.0,2012,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
26,5439.0,2014,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1
27,1100.0,2014,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
28,1200.0,2016,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0
29,552.0,2012,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0
30,900.0,2014,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0
31,370.0,2013,1,0,0,1,0,1,2,0,0,0,0,1,1,0,0,1
32,1400.0,2016,1,0,0,1,0,1,2,0,0,0,0,1,1,0,0,0
33,1000.0,2016,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0
34,480.0,2012,1,0,0,1,0,1,2,0,0,1,0,0,1,0,0,0
35,1300.0,2014,0,0,0,1,0,1,2,0,0,0,0,1,1,0,0,0
36,2900.0,2014,1,0,0,1,0,1,2,0,0,0,0,1,1,0,0,1
37,1300.0,2014,1,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0
38,1300.0,2013,1,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0
39,1300.0,2015,1,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0
40,1592.0,2012,1,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0
41,1592.0,2013,1,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0
42,450.0,2014,1,0,0,1,0,1,2,0,0,0,0,1,1,0,0,0
43,480.0,2016,1,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0
44,487.0,2015,1,1,0,1,0,1,2,0,0,0,0,1,1,0,0,0
45,1550.0,2015,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1
46,1550.0,2016,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
47,650.0,2014,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1
48,650.0,2015,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
49,2600.0,2014,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1
50,1314.0,2013,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
51,2960.0,2013,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
52,2960.0,2015,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
53,1386.0,2015,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
54,1100.0,2012,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
55,1100.0,2013,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
56,680.0,2014,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
57,3325.0,2015,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
58,1254.0,2013,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
59,1000.0,2012,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
60,1842.0,2015,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
61,300.0,2015,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
62,1113.0,2013,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
63,310.0,2013,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
64,736.0,2016,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
65,2050.0,2013,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
66,2050.0,2014,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
67,1262.0,2013,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
68,470.0,2012,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
69,2400.0,2014,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
70,6510.0,2012,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1
71,320.0,2014,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
72,425.0,2012,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
73,1500.0,2012,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
74,900.0,2013,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
75,600.0,2012,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
76,2000.0,2016,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
77,1000.0,2012,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
78,1000.0,2013,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
79,1000.0,2016,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
80,1650.0,2016,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
81,850.0,2012,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
82,850.0,2015,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
83,2600.0,2016,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
84,3500.0,2013,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
85,260.0,2014,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
86,530.0,2015,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
87,4700.0,2013,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1
88,838.0,2015,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
89,1728.0,2013,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
90,1024.0,2013,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
91,1440.0,2015,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0
92,300.0,2012,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
93,1700.0,2012,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
94,1700.0,2016,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
95,3688.0,2015,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1
96,900.0,2013,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0
97,3000.0,2013,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
98,1170.0,2013,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0
99,2976.0,2016,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0
100,4101.0,2013,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
101,800.0,2014,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
102,3100.0,2016,0,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
