YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,Claim
2013,1.0,0,N,V,V,U,290.0,1,1960,0
2015,1.0,0,V,N,O,R,490.0,1,1850,0
2014,1.0,0,N,V,V,U,595.0,1,1960,0
2013,1.0,0,V,V,V,U,2840.0,1,1960,0
2014,1.0,0,V,N,O,R,680.0,1,1800,0
2012,1.0,0,V,N,O,R,535.0,1,1980,0
2012,1.0,0,N,V,V,U,2830.0,1,1988,0
2015,1.0,0,N,V,V,U,4952.0,1,1988,0
2014,1.0,0,V,N,O,R,2735.0,1,2013,1
2015,1.0,0,V,N,O,R,520.0,1,2011,0
2013,0.24109589,0,V,N,O,R,550.0,1,1960,0
2013,1.0,0,V,V,V,U,910.0,1,1960,0
2013,1.0,0,V,N,O,R,842.0,1,1550,0
2014,0.843835616,0,V,N,O,R,300.0,1,1900,0
2012,1.0,0,N,V,V,U,560.0,1,1960,0
2012,1.0,0,V,N,O,R,3326.0,1,2007,1
2014,1.0,0,N,V,V,U,3990.0,1,1988,1
2015,1.0,0,N,V,V,U,3990.0,1,1988,0
2015,1.0,0,V,N,O,R,2444.0,1,1970,0
2016,1.0,0,V,N,O,R,2444.0,1,1970,0
2016,0.956284153,0,V,N,O,R,1626.0,1,1950,0
2016,0.99726776,0,V,N,O,R,2400.0,1,1700,0
2012,1.0,0,V,N,O,R,250.0,1,1900,0
2012,1.0,1,V,N,O,R,2300.0,1,1970,1
2016,0.99726776,0,N,V,V,U,600.0,1,1980,0
2012,1.0,0,V,N,O,R,5439.0,1,1976,0
2014,1.0,0,V,N,O,R,5439.0,1,1976,1
2014,1.0,0,V,N,O,R,1100.0,1,1900,0
2016,1.0,0,V,N,O,R,1200.0,1,1940,0
2012,1.0,0,V,N,O,R,552.0,1,1950,0
2014,1.0,0,V,N,O,R,900.0,1,1920,0
2013,1.0,0,V,N,O,R,370.0,2,1982,1
2016,1.0,0,V,N,O,R,1400.0,2,1960,0
2016,0.99726776,1,N,V,V,U,1000.0,2,1960,0
2012,1.0,0,V,N,O,R,480.0,2,1800,0
2014,0.084931507,0,V,N,O,R,1300.0,2,1970,0
2014,1.0,0,V,N,O,R,2900.0,2,1980,1
2014,1.0,0,N,V,V,U,1300.0,2,1988,0
2013,1.0,0,N,V,V,U,1300.0,2,1988,0
2015,1.0,0,N,V,V,U,1300.0,2,1988,0
2012,1.0,0,N,V,V,U,1592.0,2,1980,0
2013,1.0,0,N,V,V,U,1592.0,2,1980,0
2014,1.0,0,V,N,O,R,450.0,2,1980,0
2016,1.0,0,N,V,V,U,480.0,2,1960,0
2015,1.0,1,V,N,O,R,487.0,2,1980,0
2015,1.0,0,V,N,O,R,1550.0,1,1972,1
2016,0.99726776,0,V,N,O,R,1550.0,1,1972,0
2014,1.0,1,V,N,O,R,650.0,1,2010,1
2015,1.0,1,V,N,O,R,650.0,1,2010,0
2014,1.0,0,V,N,O,R,2600.0,1,1971,1
2013,1.0,0,N,V,V,U,1314.0,1,1988,1
2013,1.0,0,V,V,V,U,2960.0,1,1988,0
2015,1.0,0,V,V,V,U,2960.0,1,1988,0
2015,1.0,0,V,V,V,U,1386.0,1,1988,0
2012,1.0,0,V,V,V,U,1100.0,1,1988,0
2013,1.0,0,V,V,V,U,1100.0,1,1988,1
2014,1.0,0,V,N,O,R,680.0,1,1995,0
2015,0.857534247,0,V,V,V,U,3325.0,1,1988,0
2013,1.0,0,V,V,V,U,1254.0,1,1960,1
2012,1.0,0,V,V,V,U,1000.0,1,1988,0
2015,1.0,0,V,V,V,U,1842.0,1,1988,0
2015,0.295890411,0,V,V,V,U,300.0,1,1980,0
2013,1.0,0,V,V,V,U,1113.0,1,1988,0
2013,1.0,0,V,N,O,R,310.0,1,1900,0
2016,0.99726776,0,N,V,V,U,736.0,1,1960,0
2013,1.0,0,V,N,O,R,2050.0,1,2007,0
2014,1.0,0,V,N,O,R,2050.0,1,2007,0
2013,1.0,1,V,N,O,R,1262.0,1,2006,0
2012,1.0,0,V,V,V,U,470.0,1,1960,0
2014,1.0,0,V,V,V,U,2400.0,1,1980,0
2012,1.0,0,V,N,O,R,6510.0,1,1988,1
2014,1.0,0,V,V,V,U,320.0,1,1960,0
2012,1.0,0,V,N,O,R,425.0,1,1980,0
2012,1.0,0,V,V,V,U,1500.0,1,1988,0
2013,1.0,0,V,V,V,U,900.0,1,1988,0
2012,1.0,0,N,V,V,U,600.0,1,1988,0
2016,0.99726776,0,N,V,V,U,2000.0,1,1988,0
2012,1.0,0,N,V,V,U,1000.0,1,1988,0
2013,1.0,0,N,V,V,U,1000.0,1,1988,0
2016,0.99726776,0,N,V,V,U,1000.0,1,1988,0
2016,1.0,0,V,V,V,U,1650.0,1,1980,0
2012,1.0,0,V,V,V,U,850.0,1,1980,0
2015,1.0,0,V,V,V,U,850.0,1,1980,0
2016,0.99726776,0,V,V,V,U,2600.0,1,1988,0
2013,1.0,0,N,V,V,U,3500.0,1,1988,1
2014,1.0,0,N,V,V,U,260.0,1,1988,0
2015,1.0,0,V,N,O,R,530.0,1,1999,0
2013,1.0,0,V,N,O,R,4700.0,1,1969,1
2015,1.0,1,N,V,V,U,838.0,1,1960,0
2013,1.0,0,N,V,V,U,1728.0,1,1988,0
2013,1.0,0,V,V,V,U,1024.0,1,1960,0
2015,1.0,0,V,N,O,R,1440.0,1,1985,0
2012,1.0,0,V,V,V,U,300.0,1,1980,0
2012,0.0,0,V,V,V,U,1700.0,1,1980,0
2016,0.0,0,V,V,V,U,1700.0,1,1980,0
2015,1.0,0,V,N,O,R,3688.0,1,1980,1
2013,1.0,0,V,N,O,R,900.0,1,1970,0
2013,1.0,0,V,V,V,U,3000.0,1,1980,0
2013,1.0,0,V,N,O,R,1170.0,1,1972,0
2016,0.99726776,0,V,N,O,R,2976.0,1,1965,0
2013,1.0,0,V,V,V,U,4101.0,1,1988,0
2014,1.0,0,V,N,O,R,800.0,4,1950,0
2016,0.99726776,0,V,N,O,R,3100.0,4,1981,0
2016,0.99726776,0,V,N,O,R,320.0,4,1971,0
2016,0.781420765,0,V,N,O,R,2490.0,4,1972,1
2016,0.99726776,0,V,N,O,R,1670.0,4,1975,0
2013,1.0,0,V,V,V,U,900.0,4,1960,0
2012,1.0,0,V,N,O,R,460.0,4,1940,0
2016,0.99726776,0,V,N,O,R,3500.0,4,1900,0
2014,1.0,0,N,V,V,U,14.0,4,1988,0
2014,0.915068493,0,N,V,V,U,9570.0,4,1960,0
2012,1.0,0,V,N,O,R,1200.0,4,1997,0
2013,1.0,0,N,V,V,U,10.0,4,1988,0
2012,1.0,0,V,N,O,R,570.0,4,1988,0
2016,0.99726776,0,V,N,O,R,3522.0,4,2003,0
2013,1.0,0,V,N,O,R,650.0,4,1990,0
2015,0.98630137,0,V,N,O,R,650.0,4,1990,0
2013,1.0,1,V,N,O,R,4112.0,4,1965,1
2014,1.0,0,V,N,O,R,4112.0,4,1960,0
2016,0.99726776,0,V,N,O,R,1470.0,4,1970,0
2015,1.0,0,N,V,V,U,600.0,4,1960,0
2016,0.99726776,0,N,V,V,U,600.0,4,1960,1
2013,1.0,1,N,V,V,U,380.0,4,1960,0
2013,0.084931507,0,N,V,V,U,460.0,4,1960,0
2012,1.0,0,N,V,V,U,5419.0,4,1988,1
2016,1.0,0,N,V,V,U,5419.0,4,1988,1
2012,1.0,1,V,N,O,R,2800.0,4,1940,1
2015,1.0,1,V,N,O,R,2800.0,4,1940,0
2016,0.99726776,1,V,N,O,R,2800.0,4,1940,0
2012,1.0,1,V,N,O,R,450.0,4,1920,0
2014,1.0,1,V,N,O,R,1380.0,4,1960,0
2012,1.0,0,V,N,O,R,428.0,4,1930,0
